,Area Cidade,Car Registros,CAR - Area,Percentual CAR,Assen. - Area CAT ,Assen. - Area CAR sob CAT,Assen. - N CAR sob CAT,Assen. - Pc CAR sob CAT,Quil. - Area CAT ,Quil. - Area CAR sob CAT,Quil. - N CAR sob CAT,Quil. - Pc CAR sob CAT,TIs - Area CAT ,TIs - Area CAR sob CAT,TIs - N CAR sob CAT,TIs - Pc CAR sob CAT,UCs - Area CAT ,UCs - Area CAR sob CAT,UCs - N CAR sob CAT,UCs - Pc CAR sob CAT
Óbidos,2.2760435609752294,3084,1.2049529285715523,52.940679573604434,0.2002067934266246,0.4236082062966769,308,35.155581288877066,0.11245516792431923,0.3819489768152068,59,31.698248766281655,0.5432130711815659,0.00010585386747147523,1,0.008784896485289503,0.2761246386049247,0.18868879007137682,42,15.659432463894138
Oeiras do Pará,0.3132077295473986,1971,0.2882340540790182,92.02648175239204,0.012274015214851936,0.013181103528587182,14,4.573055592165954,0.020999919840547332,0.04257430393064089,8,14.770740420203547,0.0,0.0,0,0.0,0.06811161669720413,0.07141277668231027,5,24.775967888489937
Oriximiná,8.743982335841794,3172,1.855158329948451,21.21640070502101,0.3168625166939857,0.9078167080759266,299,48.93472936626126,0.7166866770494161,1.1138140536134633,87,60.0387597992465,0.00013505153921985924,0.0,0,0.0,2.794918072919989,0.5610807641468779,31,30.244360014407423
Ourém,0.04564929429497617,956,0.05373821439242338,117.71970459209797,0.0,0.0,0,0.0,0.0005395665683206364,0.0010596465831999404,2,1.9718678694120164,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Ourilândia do Norte,1.1806475632096491,1773,0.35112195142702907,29.73977691297533,0.06960364241499668,0.18069340697399988,203,51.46172326726545,0.0,0.0,0,0.0,0.999203647130697,0.004690577441903166,6,1.33588271050549,0.0,0.0,0,0.0
Pacajá,0.9632136866645281,10185,1.561367103619522,162.09976303662316,0.31974624039619204,0.5398900706766225,738,34.578035455279085,0.0,0.0,0,0.0,9.163775071847777e-05,1.981326852203604e-06,1,0.0001268969256243802,0.0,0.0,0,0.0
Palestina do Pará,0.08039119528767825,710,0.09885623016242633,122.96897665057887,0.011538921688632396,0.010669403440814473,12,10.792848789888149,0.0,0.0,0,0.0,0.0,0.0,0,0.0,2.9436262465628662e-05,2.1981178967542587e-05,3,0.022235501931872455
Paragominas,1.5738279647349152,3750,1.7133151367000403,108.8629237178804,0.06544368252260387,0.08924261324936728,147,5.208768155825351,0.0,0.0,0,0.0,0.00241636758275748,0.0003098677082430974,13,0.018085855987937122,0.0,0.0,0,0.0
Parauapebas,0.5625604945292518,1754,0.3912082357908427,69.54065200013805,0.04040145926781985,0.08892544375581239,67,22.730974355906934,0.0,0.0,0,0.0,0.21660198694830912,0.0009877464765926005,1,0.2524861151237863,0.2514709462968865,0.23892528849583777,28,61.07368573487237
Pau D'Arco,0.13700188409464645,1244,0.15635322359113468,114.12487107339308,0.012119926199499479,0.013377473955284004,12,8.555931018260447,0.0,0.0,0,0.0,0.016163624991755464,0.00013438048464037213,3,0.08594673109636582,0.0,0.0,0,0.0
Peixe-Boi,0.0365835994760227,489,0.027692879748350923,75.69752606356064,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Piçarra,0.2708444636991423,3419,0.33835449217081803,124.92575537621727,0.05672200621853962,0.0630959445275213,110,18.64788143426432,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Placas,0.5840728798538873,4669,0.7201479351829395,123.29761576382265,0.24831038730388263,0.3955803466557163,308,54.930428503586114,0.0,0.0,0,0.0,0.10423117094566582,0.03533523304284542,16,4.906663105806058,0.01581402968997957,0.01581402968997957,1,2.1959418221427414
Ponta de Pedras,0.2733274467899292,1331,0.22182655836408208,81.15780576349178,0.0041862466369032144,0.008359407309959993,8,3.768442954535573,2.544417842397755e-09,1.0455156826377392e-10,1,4.713212386957485e-08,0.0,0.0,0,0.0,0.0,0.0,0,0.0
Portel,2.064460105562922,4892,3.8308639256494796,185.5625068911132,0.44081408536495387,1.1337356227430093,520,29.594776654741068,0.0020898047026236223,0.008358888982550251,4,0.2181985354943949,0.0,0.0,0,0.0,0.1531563120685695,0.16237472144574935,13,4.238592771687148
